country_name,region,fdi_USA_2017 (million),fdi_USA_2018 (million),fdi_USA_2019 (million)
Afghanistan,Asia,,1,0
Albania,Europe ,0,0,0
Algeria,Africa,8,,0
Andorra,Europe ,0,0,0
Angola,Africa,222,,
Anguilla,Latin America and Other Western Hemisphere,,,
Antigua and Barbuda,Latin America and Other Western Hemisphere,3,3,3
Argentina,Latin America and Other Western Hemisphere,1028,822,561
Armenia,Europe ,3,3,3
Aruba,Latin America and Other Western Hemisphere,8,6,
Australia,Australia,62048,63070,80974
Austria,Europe ,13160,12392,13964
Azerbaijan,Europe ,-7,-2,-2
"Bahamas, The",Latin America and Other Western Hemisphere,513,646,1089
Bahrain,Asia,57,,-13
Bangladesh,Asia,12,12,12
Barbados,Latin America and Other Western Hemisphere,9053,7476,9077
Belarus,Europe ,4,4,4
Belgium,Europe ,76009,64661,65918
Belize,Latin America and Other Western Hemisphere,12,12,12
Benin,Africa,0,0,0
Bermuda,Latin America and Other Western Hemisphere,-3280,28018,56279
Bhutan,Asia,0,0,0
Bolivia,Latin America and Other Western Hemisphere,1,,-2
Bosnia and Herzegovina,Europe ,0,0,0
Botswana,Africa,0,0,0
Brazil,Latin America and Other Western Hemisphere,977,2514,4617
Brunei Darussalam,Asia,-3,,
Bulgaria,Europe ,30,,
Burkina Faso,Africa,-1,-1,0
Myanmar,Asia,5,3,-1
Burundi,Africa,0,0,0
Cabo Verde,Africa,-2,-2,-2
Cambodia,Asia,5,4,4
Cameroon,Africa,0,0,0
Canada,Canada,395495,442802,495720
Central African Republic,Africa,0,0,0
Chad,Africa,2,1,0
Chile,Latin America and Other Western Hemisphere,1861,2573,2851
China,Asia,31306,33543,37685
Colombia,Latin America and Other Western Hemisphere,-26,140,174
Comoros,Africa,0,0,0
"Congo, Rep.",Africa,-4,,-4
"Congo, Dem. Rep.",Africa,0,,0
Costa Rica,Latin America and Other Western Hemisphere,-137,-211,-199
Cote d'Ivoire,Africa,0,0,0
Croatia,Europe ,20,19,
Cuba,Latin America and Other Western Hemisphere,0,0,0
Curacao ,Latin America and Other Western Hemisphere,1312,1335,1182
Cyprus,Europe ,,323,120
Czech Republic,Europe ,,,
Denmark,Europe ,18617,20654,23870
Djibouti,Africa,0,0,0
Dominica,Latin America and Other Western Hemisphere,0,0,0
Dominican Republic,Latin America and Other Western Hemisphere,223,107,151
Ecuador,Latin America and Other Western Hemisphere,27,30,48
"Egypt, Arab Rep.",Africa,-21,-43,1
El Salvador,Latin America and Other Western Hemisphere,-7,16,26
Equatorial Guinea,Africa,,-3,-2
Eritrea,Africa,0,0,0
Estonia,Europe ,,,-4
Eswatini,Africa,0,0,0
Ethiopia,Africa,4,,
Fiji,Asia,0,,0
Finland,Europe ,6928,14464,14826
France,Europe ,266570,268169,282226
Gabon,Africa,,0,0
"Gambia, The",Africa,0,0,0
Georgia,Europe ,0,0,0
Germany,Europe ,298754,328124,372879
Ghana,Africa,-3,-4,-1
Gibraltar,Europe ,7912,9367,9714
Greece,Europe ,850,639,
Greenland,Europe ,2,,2
Grenada,Latin America and Other Western Hemisphere,,8,8
Guatemala,Latin America and Other Western Hemisphere,0,-9,9
Guinea,Africa,,,
Guinea-Bissau,Africa,0,0,0
Guyana,Latin America and Other Western Hemisphere,0,,1
Haiti,Latin America and Other Western Hemisphere,-1,-1,-1
Honduras,Latin America and Other Western Hemisphere,-52,-80,-84
"Hong Kong SAR, China",Asia,13330,13159,14110
Hungary,Europe ,21932,31730,52360
Iceland,Europe ,,,
India,Asia,5669,5127,5009
Indonesia,Asia,318,344,399
"Iran, Islamic Rep.",Asia,,,
Iraq,Asia,,-2,0
Ireland,Europe ,157846,265004,225517
Israel,Asia,12061,13982,14566
Italy,Europe ,29450,30749,32811
Jamaica,Latin America and Other Western Hemisphere,-2,46,52
Japan,Asia,475864,493763,619259
Jordan,Asia,-21,-218,
Kazakhstan,Europe ,0,0,0
Kenya,Africa,,-5,-16
Kiribati,Asia,0,0,0
Kosovo,Europe ,0,0,0
